5,7.0.0.2,1.94208,0.97875
6,7.0.0.3,91.392,0
5,7.0.0.2,0,1
6,7.0.0.3,91.392,0
7,7.0.0.4,91.392,0
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,0,1
6,7.0.0.3,91.392,0
7,7.0.0.4,91.392,0
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,0,1
6,7.0.0.3,91.392,0
7,7.0.0.4,91.392,0
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,0,1
6,7.0.0.3,91.392,0
7,7.0.0.4,91.392,0
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,0,1
6,7.0.0.3,91.392,0
7,7.0.0.4,91.392,0
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,0.616896,0.99325
6,7.0.0.3,0,1
7,7.0.0.4,85.9085,0.06
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,0.616896,0.99325
6,7.0.0.3,0,1
7,7.0.0.4,85.9085,0.06
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,0.822528,0.1
6,7.0.0.3,0,1
7,7.0.0.4,0.91392,0
8,7.0.0.5,0.91392,0
9,7.0.0.6,0.91392,0
5,7.0.0.2,0.91392,0
6,7.0.0.3,0.91392,0
7,7.0.0.4,0.91392,0
8,7.0.0.5,0.91392,0
9,7.0.0.6,0.91392,0
5,7.0.0.2,0.91392,0
6,7.0.0.3,0.91392,0
7,7.0.0.4,0.91392,0
8,7.0.0.5,0.91392,0
9,7.0.0.6,0.91392,0
5,7.0.0.2,0.91392,0
6,7.0.0.3,0.91392,0
7,7.0.0.4,0.91392,0
8,7.0.0.5,0.91392,0
9,7.0.0.6,0.91392,0
5,7.0.0.2,61.8495,0.932325
6,7.0.0.3,63.0148,0.93105
7,7.0.0.4,63.4032,0.930625
8,7.0.0.5,92.74,0.898525
9,7.0.0.6,92.3516,0.89895
5,7.0.0.2,62.1009,0.3205
6,7.0.0.3,63.2661,0.30775
7,7.0.0.4,63.4032,0.30625
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,62.1009,0.3205
6,7.0.0.3,63.2661,0.30775
7,7.0.0.4,63.4032,0.30625
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,3.3792,0
6,7.0.0.3,3.3792,0
7,7.0.0.4,3.3792,0
8,7.0.0.5,3.3792,0
9,7.0.0.6,3.3792,0
5,7.0.0.2,9.1392,0
6,7.0.0.3,9.1392,0
7,7.0.0.4,9.1392,0
8,7.0.0.5,9.1392,0
9,7.0.0.6,9.1392,0
5,7.0.0.2,9.1392,0
6,7.0.0.3,9.1392,0
7,7.0.0.4,9.1392,0
8,7.0.0.5,9.1392,0
9,7.0.0.6,9.1392,0
5,7.0.0.2,19.0552,0
6,7.0.0.3,19.0552,0
7,7.0.0.4,19.0552,0
8,7.0.0.5,19.0552,0
9,7.0.0.6,19.0552,0
5,7.0.0.2,19.0552,0
6,7.0.0.3,19.0552,0
7,7.0.0.4,19.0552,0
8,7.0.0.5,19.0552,0
9,7.0.0.6,19.0552,0
5,7.0.0.2,12.2237,0.358513
6,7.0.0.3,12.4522,0.346523
7,7.0.0.4,12.5436,0.341727
8,7.0.0.5,18.3698,0.0359712
9,7.0.0.6,18.3012,0.0395683
5,7.0.0.2,12.2237,0.358513
6,7.0.0.3,12.4522,0.346523
7,7.0.0.4,12.5436,0.341727
8,7.0.0.5,18.3698,0.0359712
9,7.0.0.6,18.3012,0.0395683
5,7.0.0.2,6.05472,0.682254
6,7.0.0.3,6.19181,0.67506
7,7.0.0.4,6.21466,0.673861
8,7.0.0.5,9.1392,0.520384
9,7.0.0.6,9.11635,0.521583
5,7.0.0.2,62.1009,0.3205
6,7.0.0.3,63.2661,0.30775
7,7.0.0.4,63.4032,0.30625
8,7.0.0.5,91.392,0
9,7.0.0.6,91.392,0
5,7.0.0.2,91.392,0
6,7.0.0.3,91.392,0
7,7.0.0.4,91.392,0
5,7.0.0.2,91.392,0
6,7.0.0.3,91.392,0
7,7.0.0.4,91.392,0
5,7.0.0.2,12.3836,0.8645
6,7.0.0.3,12.3379,0.865
7,7.0.0.4,12.2465,0.866
5,7.0.0.2,12.3836,0.8645
6,7.0.0.3,12.3379,0.865
7,7.0.0.4,12.2465,0.866
5,7.0.0.2,12.3836,0.8645
6,7.0.0.3,12.3379,0.865
7,7.0.0.4,12.2465,0.866
5,7.0.0.2,37.5621,0.589
6,7.0.0.3,37.4479,0.59025
7,7.0.0.4,37.128,0.59375
5,7.0.0.2,75.2156,0.177
6,7.0.0.3,74.9871,0.1795
7,7.0.0.4,74.3702,0.18625
5,7.0.0.2,91.392,0
6,7.0.0.3,91.392,0
7,7.0.0.4,91.392,0
5,7.0.0.2,85.086,0.069
6,7.0.0.3,84.8346,0.07175
7,7.0.0.4,84.1263,0.0795
5,7.0.0.2,87.6906,0.0405
6,7.0.0.3,87.4164,0.0435
7,7.0.0.4,86.7082,0.05125
5,7.0.0.2,90.2724,0.01225
6,7.0.0.3,89.9983,0.01525
7,7.0.0.4,89.2443,0.0235
5,7.0.0.2,90.2724,0.01225
6,7.0.0.3,89.9983,0.01525
7,7.0.0.4,89.2443,0.0235
5,7.0.0.2,0,1
6,7.0.0.3,89.9983,0.01525
7,7.0.0.4,89.2443,0.0235
5,7.0.0.2,0,1
6,7.0.0.3,89.9983,0.01525
7,7.0.0.4,89.2443,0.0235
5,7.0.0.2,0,1
6,7.0.0.3,24.7901,0.72875
7,7.0.0.4,24.5844,0.731
5,7.0.0.2,24.8586,0.728
6,7.0.0.3,24.7901,0.72875
7,7.0.0.4,24.5844,0.731
5,7.0.0.2,24.7444,0.72925
6,7.0.0.3,24.7444,0.72925
7,7.0.0.4,24.7215,0.7295
5,7.0.0.2,0,1
6,7.0.0.3,24.7444,0.72925
7,7.0.0.4,24.7215,0.7295
5,7.0.0.2,0.045696,0.9995
6,7.0.0.3,24.7444,0.72925
7,7.0.0.4,24.7215,0.7295
5,7.0.0.2,24.7444,0.72925
6,7.0.0.3,24.7444,0.72925
7,7.0.0.4,24.7215,0.7295
5,7.0.0.2,9.1392,0
6,7.0.0.3,9.1392,0
7,7.0.0.4,9.1392,0
5,7.0.0.2,18.2784,0
6,7.0.0.3,18.2784,0
7,7.0.0.4,18.2784,0
5,7.0.0.2,0.045696,0.9975
6,7.0.0.3,18.2784,0
7,7.0.0.4,18.2784,0
5,7.0.0.2,0.045696,0.99975
6,7.0.0.3,18.2784,0
7,7.0.0.4,18.2784,0
5,7.0.0.2,0.045696,0.99975
6,7.0.0.3,12.3379,0.325
7,7.0.0.4,12.3151,0.32625
5,7.0.0.2,12.3151,0.932625
6,7.0.0.3,12.3379,0.325
7,7.0.0.4,12.3151,0.32625
5,7.0.0.2,34.4548,0.8115
6,7.0.0.3,18.2784,0
7,7.0.0.4,18.2784,0
5,7.0.0.2,0.045696,0.99975
6,7.0.0.3,0.045696,0.9975
7,7.0.0.4,18.2784,0
5,7.0.0.2,0.045696,0.99975
6,7.0.0.3,0.045696,0.9975
7,7.0.0.4,18.2784,0
